Communication;Nodes;Processes;Size;Communication-time;Operations-time;Total-time;
1;1;;2050;0.051743;0.731324;0.783067;
1;1;;2050;0.051742;0.735361;0.787103;
1;1;;2050;0.051806;0.733195;0.785001;
1;1;;2050;0.051947;0.732786;0.784733;
1;1;;4098;0.206607;2.708838;2.915445;
1;1;;4098;0.208226;2.713096;2.921322;
1;1;;4098;0.207099;2.718471;2.925570;
1;1;;4098;0.207762;2.704866;2.912628;
1;1;;4098;0.207433;2.715180;2.922614;
1;1;;2050;0.051711;0.735966;0.787677;
1;1;;2050;0.051774;0.739846;0.791620;
1;1;;2050;0.051661;0.736172;0.787833;
1;1;;2050;0.053264;0.737391;0.790655;
1;1;;2050;0.051863;0.741137;0.793000;
1;1;;4098;0.207300;2.738006;2.945306;
1;1;;4098;0.210381;2.729764;2.940145;
1;1;;4098;0.208199;2.714517;2.922716;
1;1;;4098;0.207636;2.725146;2.932782;
1;1;;4098;0.206119;2.705582;2.911701;
1;1;;2050;0.052797;0.739257;0.792054;
1;1;;2050;0.052391;0.737053;0.789444;
1;1;;2050;0.052550;0.733566;0.786116;
1;1;;2050;0.052148;0.736691;0.788840;
1;1;;2050;0.052352;0.736130;0.788482;
1;1;;4098;0.208263;2.715785;2.924048;
1;1;;4098;0.208266;2.719790;2.928056;
1;1;;4098;0.207041;2.705466;2.912506;
1;1;;4098;0.206128;2.711992;2.918120;
1;1;;4098;0.207045;2.716560;2.923605;
1;2;;2050;1.476513;0.370187;1.846700;
1;2;;2050;1.478695;0.367191;1.845886;
1;2;;2050;1.490435;0.366825;1.857260;
1;2;;2050;1.478883;0.368784;1.847667;
1;2;;2050;1.477398;0.367929;1.845327;
1;2;;4098;5.898413;1.357029;7.255442;
1;2;;4098;5.909853;1.355410;7.265263;
1;2;;4098;5.905463;1.352558;7.258020;
1;2;;4098;5.895300;1.360097;7.255397;
1;2;;4098;5.903123;1.353456;7.256579;
1;2;;2050;0.052359;0.371657;0.424016;
1;2;;2050;0.052846;0.370725;0.423571;
1;2;;2050;0.051903;0.373462;0.425365;
1;2;;2050;0.052322;0.372277;0.424599;
1;2;;2050;0.052822;0.369609;0.422430;
1;2;;4098;0.207506;1.361789;1.569294;
1;2;;4098;0.207283;1.360902;1.568185;
1;2;;4098;0.207905;1.362575;1.570480;
1;2;;4098;0.208545;1.362208;1.570753;
1;2;;4098;0.208848;1.361671;1.570519;
1;2;;2050;0.052749;0.370404;0.423153;
1;2;;2050;0.052096;0.372292;0.424387;
1;2;;2050;0.051856;0.372538;0.424394;
1;2;;2050;0.052836;0.370807;0.423643;
1;2;;2050;0.051974;0.369735;0.421710;
1;2;;4098;0.209177;1.363904;1.573081;
1;2;;4098;0.206358;1.365507;1.571865;
1;2;;4098;0.211370;1.365505;1.576874;
1;2;;4098;0.207524;1.361144;1.568668;
1;2;;4098;0.209696;1.362314;1.572010;
1;2;;2050;0.051887;0.371727;0.423614;
1;2;;2050;0.052160;0.371057;0.423217;
1;2;;2050;0.052453;0.369263;0.421716;
1;2;;2050;0.052064;0.371665;0.423728;
1;2;;2050;0.051916;0.371157;0.423074;
1;2;;4098;0.207346;1.363994;1.571340;
1;2;;4098;0.210390;1.363676;1.574065;
1;2;;4098;0.209145;1.361815;1.570960;
1;2;;4098;0.207114;1.360122;1.567237;
1;2;;4098;0.209487;1.360933;1.570420;
1;8;;2050;1.487669;0.096290;1.583960;
1;8;;2050;1.484032;0.104013;1.588045;
1;8;;2050;1.505748;0.103219;1.608967;
1;8;;2050;1.491943;0.097970;1.589912;
1;8;;2050;1.488729;0.096326;1.585055;
1;8;;4098;5.934771;0.393241;6.328012;
1;8;;4098;5.922914;0.359584;6.282497;
1;8;;4098;5.924624;0.360063;6.284688;
1;8;;4098;5.918222;0.356671;6.274894;
1;8;;4098;5.966809;0.393388;6.360197;
1;8;;2050;1.480434;0.096891;1.577325;
1;8;;2050;1.483887;0.096294;1.580181;
1;8;;2050;1.479077;0.098469;1.577546;
1;8;;2050;1.482392;0.096288;1.578681;
1;8;;2050;1.482423;0.096292;1.578715;
1;8;;4098;5.918028;0.359339;6.277367;
1;8;;4098;5.949253;0.365672;6.314925;
1;8;;4098;5.904024;0.356694;6.260718;
1;8;;4098;5.925804;0.358590;6.284394;
1;8;;4098;5.921795;0.356552;6.278347;
1;8;;2050;0.586357;0.208467;0.794823;
1;8;;2050;0.526915;0.196214;0.723130;
1;8;;2050;0.475875;0.102936;0.578811;
1;8;;2050;0.539159;0.191762;0.730922;
1;8;;2050;0.554453;0.192435;0.746887;
1;8;;4098;2.066198;0.708670;2.774868;
1;8;;4098;1.974695;0.704607;2.679302;
1;8;;4098;2.129567;0.705243;2.834810;
1;8;;4098;1.853566;0.857251;2.710817;
1;8;;4098;1.998164;0.700647;2.698811;
1;8;;2050;0.515440;0.195407;0.710847;
1;8;;2050;0.515792;0.175402;0.691194;
1;8;;2050;0.541661;0.201251;0.742912;
1;8;;2050;0.337808;0.152964;0.490772;
1;8;;2050;0.471136;0.212537;0.683672;
1;8;;4098;1.977828;0.725044;2.702872;
1;8;;4098;2.105448;0.713410;2.818858;
1;8;;4098;2.018385;0.784355;2.802740;
1;8;;4098;2.086435;0.704458;2.790893;
1;8;;4098;1.989772;0.713992;2.703763;
